,0,1,2,3,4,5
0,한 남자가 큰 플루트를 연주하고 있다.,남자가 플루트를 연주하고 있다.,3.799999952316284,0.9671493768692017,-56.460655212402344,-2.54433012008667
1,한 남자가 피자에 치즈를 뿌려놓고 있다.,한 남자가 구운 피자에 치즈 조각을 뿌려놓고 있다.,3.799999952316284,0.9686636328697205,-53.68389892578125,-2.4413962364196777
2,세 남자가 체스를 하고 있다.,두 남자가 체스를 하고 있다.,2.5999999046325684,0.9775921106338501,-46.50254821777344,-2.0916554927825928
3,한 남자가 첼로를 연주하고 있다.,자리에 앉은 남자가 첼로를 연주하고 있다.,4.25,0.9321327805519104,-79.09257507324219,-3.6148486137390137
4,몇몇 남자들이 싸우고 있다.,두 남자가 싸우고 있다.,4.25,0.8499206304550171,-118.8395004272461,-5.360276222229004
5,남자가 담배를 피우고 있다.,남자가 스케이트를 타고 있다.,0.5,0.6298801302909851,-186.42071533203125,-8.560640335083008
6,남자가 피아노를 치고 있다.,남자가 기타를 연주하고 있다.,1.600000023841858,0.8992310762405396,-94.7103500366211,-4.233635425567627
7,한 남자가 기타를 치고 노래를 부르고 있다.,한 여성이 어쿠스틱 기타를 연주하고 노래를 부르고 있다.,2.200000047683716,0.923865795135498,-84.37306213378906,-3.79213547706604
8,사람이 고양이를 천장에 던지고 있다.,사람이 고양이를 천장에 던진다.,5.0,0.9443832039833069,-73.38651275634766,-3.31455135345459
9,그 남자는 다른 남자를 막대기로 때렸다.,그 남자는 다른 남자를 막대기로 때렸다.,4.199999809265137,0.9999998807907104,-0.09687059372663498,-0.004406029358506203
10,한 여성이 아기를 안아서 캥거루를 안는다.,한 여성이 아기를 안아서 팔에 캥거루를 안는다.,4.599999904632568,0.9757367372512817,-46.37596893310547,-2.120521068572998
11,남자가 플루트를 연주하고 있다.,남자가 대나무 플루트를 연주하고 있다.,3.867000102996826,0.9801511764526367,-43.15605163574219,-1.952602505683899
12,사람이 종이 한 장을 접고 있다.,누군가가 종이를 접고 있다.,4.666999816894531,0.9324468374252319,-81.1622543334961,-3.6630451679229736
